player,team,age,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies
Tanner Andrews,Toronto Blue Jays,30,2,0,3,4,0,0,0,0,1,2,0,1,0,.111,9,.273,.111,.384,0,0,.---,.---,1,43,0.00,3.0,0,0,0,0,0,0,0,1.00,11,9,2,0,0,22,.510,0,0,0,0,1,0.75,.---,14.33,2,0.50,3.00,6.00,3.00,0.00,0.00,0,0,0,0,0
Ty Blach,Chicago Cubs,35,1,0,4,2,0,0,0,0,2,0,0,1,0,.111,9,.111,.111,.222,0,0,.---,.---,0,30,0.00,3.0,0,0,0,0,0,0,0,0.33,9,9,1,0,0,22,.730,0,0,0,0,1,2.00,.---,10.00,1,-.--,6.00,0.00,3.00,0.00,0.00,0,0,0,0,0
Tyler Callihan,Pittsburgh Pirates,26,4,0,2,6,0,0,0,0,1,3,0,3,0,.250,12,.400,.250,.650,0,0,.---,.---,0,53,0.00,3.0,0,0,0,0,0,0,0,2.00,15,9,4,0,0,26,.490,0,0,0,0,3,0.33,.---,17.67,4,0.33,3.00,9.00,9.00,0.00,0.00,2,0,0,0,0
Eiberson Castellano,Colorado Rockies,25,1,0,3,2,0,1,0,0,2,0,0,4,1,.364,11,.417,.455,.872,0,0,.---,.---,1,35,0.00,3.0,0,0,1,1,0,0,0,1.33,12,9,1,0,0,24,.690,1,0,0,0,5,1.50,.---,11.67,1,-.--,6.00,0.00,12.00,0.00,0.00,0,0,0,0,0
Brendan Cellucci,Toronto Blue Jays,28,2,0,2,3,0,0,0,0,4,0,0,0,0,.000,9,.000,.000,.000,0,0,.---,.---,0,38,0.00,3.0,0,0,0,0,0,0,0,0.00,9,9,2,0,0,29,.760,0,0,0,0,0,0.67,.---,12.67,0,-.--,12.00,0.00,0.00,0.00,0.00,3,0,0,0,0
Jose Espada,Baltimore Orioles,29,1,0,1,1,0,0,0,0,0,0,0,2,0,.500,4,.500,.500,1.000,0,0,.---,.---,1,15,0.00,1.0,0,0,0,0,0,0,0,2.00,4,3,1,0,0,10,.670,0,0,0,0,2,1.00,.---,15.00,1,-.--,0.00,0.00,18.00,0.00,0.00,0,0,0,0,0
Rafael Flores Jr.,Pittsburgh Pirates,25,1,0,1,2,0,0,0,0,0,0,0,2,0,.400,5,.400,.400,.800,0,0,.---,.---,0,8,0.00,1.0,0,0,0,0,0,0,0,2.00,5,3,1,0,0,7,.880,0,0,0,0,2,0.50,.---,8.00,1,-.--,0.00,0.00,18.00,0.00,0.00,0,0,0,0,0
Anthony Gose,Kansas City Royals,35,10,0,6,17,2,2,0,0,4,1,0,8,0,.242,33,.257,.303,.560,0,0,.---,.---,1,135,0.00,9.1,1,1,0,0,2,0,0,0.96,36,28,10,0,0,93,.690,0,0,1,0,10,0.35,.500,14.46,2,4.00,3.86,0.96,7.71,1.93,0.00,6,3,0,1,1
Josiah Gray,Washington Nationals,28,1,0,1,2,0,0,0,0,0,0,0,1,0,.250,4,.250,.250,.500,0,0,.---,.---,0,8,0.00,1.0,0,0,0,0,0,0,0,1.00,4,3,1,0,0,7,.880,0,0,0,0,1,0.50,.---,8.00,1,-.--,0.00,0.00,9.00,0.00,0.00,0,0,0,0,0
Sam Haggerty,Texas Rangers,32,1,0,2,0,0,0,0,0,0,0,0,0,1,.000,2,.333,.000,.333,0,0,.---,.---,1,6,0.00,1.0,0,0,0,0,0,0,0,0.00,3,3,1,0,0,5,.830,1,0,0,0,0,2.00,.---,6.00,1,-.--,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
Kevin Herget,New York Mets,35,1,0,1,2,0,0,0,0,0,0,0,0,0,.000,3,.000,.000,.000,0,0,.---,.---,0,11,0.00,1.0,0,0,0,0,0,0,0,0.00,3,3,1,0,0,7,.640,0,0,0,0,0,0.50,.---,11.00,1,-.--,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
Enrique Hernández,Los Angeles Dodgers,34,1,0,0,3,0,0,0,0,0,0,0,1,0,.250,4,.250,.250,.500,0,0,.---,.---,0,8,0.00,1.0,0,0,0,0,0,0,0,1.00,4,3,1,0,0,7,.880,0,0,0,0,1,0.00,.---,8.00,1,-.--,0.00,0.00,9.00,0.00,0.00,0,0,0,0,0
Welinton Herrera,Colorado Rockies,22,3,0,2,3,0,0,0,0,2,1,0,2,0,.222,9,.300,.222,.522,0,0,.---,.---,0,45,0.00,2.1,0,0,0,0,0,0,0,1.29,10,7,3,0,0,28,.620,0,0,0,0,2,0.67,.---,19.29,1,2.00,7.71,3.86,7.71,0.00,0.00,0,0,0,0,0
