player,team,age,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies
Logan Allen,Cleveland Guardians,27,1,0,3,3,2,1,0,0,7,1,0,5,0,.278,18,.316,.333,.649,0,0,.---,.---,0,83,0.00,4.0,0,0,0,0,0,0,0,1.50,19,12,1,0,0,50,.600,0,0,0,0,6,1.00,.---,20.75,1,7.00,15.75,2.25,11.25,4.50,0.00,0,0,0,0,0
Tanner Andrews,Toronto Blue Jays,30,2,0,3,4,0,0,0,0,1,2,0,1,0,.111,9,.273,.111,.384,0,0,.---,.---,1,43,0.00,3.0,0,0,0,0,0,0,0,1.00,11,9,2,0,0,22,.510,0,0,0,0,1,0.75,.---,14.33,2,0.50,3.00,6.00,3.00,0.00,0.00,0,0,0,0,0
Spencer Bivens,San Francisco Giants,32,2,0,1,2,2,0,0,0,3,1,0,3,0,.333,9,.400,.333,.733,0,0,.---,.---,0,45,0.00,2.0,0,0,0,0,0,0,0,2.00,10,6,2,0,0,30,.670,0,0,0,0,3,0.50,.---,22.50,1,3.00,13.50,4.50,13.50,9.00,0.00,0,0,0,0,0
Ty Blach,Chicago Cubs,35,1,0,4,2,0,0,0,0,2,0,0,1,0,.111,9,.111,.111,.222,0,0,.---,.---,0,30,0.00,3.0,0,0,0,0,0,0,0,0.33,9,9,1,0,0,22,.730,0,0,0,0,1,2.00,.---,10.00,1,-.--,6.00,0.00,3.00,0.00,0.00,0,0,0,0,0
Tyler Callihan,Pittsburgh Pirates,26,3,0,2,4,0,0,0,0,0,3,0,2,0,.250,8,.455,.250,.705,0,0,.---,.---,0,39,0.00,2.0,0,0,0,0,0,0,0,2.50,11,6,3,0,0,17,.440,0,0,0,0,2,0.50,.---,19.50,3,0.00,0.00,13.50,9.00,0.00,0.00,2,0,0,0,0
Eiberson Castellano,Colorado Rockies,25,1,0,3,2,0,1,0,0,2,0,0,4,1,.364,11,.417,.455,.872,0,0,.---,.---,1,35,0.00,3.0,0,0,1,1,0,0,0,1.33,12,9,1,0,0,24,.690,1,0,0,0,5,1.50,.---,11.67,1,-.--,6.00,0.00,12.00,0.00,0.00,0,0,0,0,0
Tom Cosgrove,Washington Nationals,30,1,0,1,0,0,0,0,0,0,1,0,1,0,.500,2,.667,.500,1.167,0,0,.---,.---,1,15,0.00,0.2,0,0,0,0,1,0,0,3.00,3,2,1,0,0,11,.730,0,0,0,0,1,1.00,.---,22.50,0,0.00,0.00,13.50,13.50,0.00,0.00,0,0,0,0,0
Jeff Criswell,Colorado Rockies,27,2,0,1,3,0,0,0,0,2,2,0,1,0,.143,7,.333,.143,.476,0,0,.---,.---,0,49,0.00,2.0,0,0,0,0,0,0,0,1.50,9,6,2,0,0,27,.550,0,0,0,0,1,0.33,.---,24.50,0,1.00,9.00,9.00,4.50,0.00,0.00,0,0,0,0,0
Yovanny Cruz,New York Yankees,26,3,0,2,5,0,1,0,0,6,0,0,1,1,.071,14,.133,.143,.276,0,0,.---,.---,0,46,0.00,4.1,0,0,0,0,0,0,0,0.23,15,13,3,0,0,36,.780,1,0,0,0,2,0.40,.---,10.62,1,-.--,12.46,0.00,2.08,0.00,0.00,0,0,0,0,0
Duncan Davitt,Chicago White Sox,26,1,0,1,1,0,0,0,0,0,1,0,0,0,.000,2,.333,.000,.333,0,0,.---,.---,1,14,0.00,1.0,0,0,0,0,0,0,0,1.00,3,3,1,0,0,8,.570,0,0,0,0,0,1.00,.---,14.00,1,0.00,0.00,9.00,0.00,0.00,0.00,0,0,0,0,0
